Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Number.of.Passengers,Destroyed,UniqueID
20001214X42010,Accident,LAX83FA064,1983-01-02,"MONTEREY, CA",United States,,,Non-Fatal,Destroyed,N1947E,Cessna,340A,No,2,Reciprocating,Personal,0.0,0.0,4.0,0.0,Vmc,Takeoff,Probable Cause,,4.0,True,Cessna 340A
20001214X41937,Accident,CHI83FA069,1983-01-02,"GENOA CITY, WI",United States,64C,VINCENT,Fatal(2),Destroyed,N3168G,North American,T-6G,No,1,Reciprocating,Personal,2.0,0.0,0.0,0.0,Vmc,Maneuvering,Probable Cause,,2.0,True,North American T-6G
20001214X41919,Accident,ATL83FA081,1983-01-02,"BEAUFORT, SC",United States,,,Fatal(3),Destroyed,N8066P,Piper,PA-24-250,No,1,Reciprocating,Personal,3.0,0.0,0.0,0.0,Imc,Cruise,Probable Cause,,3.0,True,Piper PA-24-250
20001214X42051,Accident,MIA83LA056,1983-01-02,"NEAR VERO BEACH, FL",United States,,,Non-Fatal,Substantial,N35590,Piper,PA-32-301R,No,1,Reciprocating,Personal,0.0,0.0,0.0,2.0,Vmc,Maneuvering,Probable Cause,,2.0,False,Piper PA-32-301R
20001214X41994,Accident,FTW83LA073,1983-01-02,"BIG SPRING, TX",United States,21XS,BIG SPRING MUNICIPAL,Non-Fatal,Substantial,N9435Q,Beech,V-35B,No,1,Reciprocating,Personal,0.0,0.0,0.0,3.0,Vmc,Takeoff,Probable Cause,,3.0,False,Beech V-35B
20001214X41976,Accident,DEN83LA047,1983-01-02,"VERNAL, UT",United States,VEL,VERNAL MUNI.,Non-Fatal,Substantial,N6732B,Beech,A36,No,1,Reciprocating,Business,0.0,0.0,0.0,2.0,Vmc,Takeoff,Probable Cause,,2.0,False,Beech A36
20001214X41950,Accident,CHI83LA073,1983-01-02,"MONEE, IL",United States,C56,SANGER,Non-Fatal,Substantial,N9699B,Cessna,180,No,1,Reciprocating,Personal,0.0,0.0,0.0,4.0,Vmc,Landing,Probable Cause,,4.0,False,Cessna 180
20001214X41948,Accident,CHI83LA071,1983-01-02,"PLATO CENTER, IL",United States,LL53,OLSON,Non-Fatal,Substantial,N4292V,Cessna,170,No,1,Reciprocating,Personal,0.0,0.0,2.0,0.0,Vmc,Landing,Probable Cause,,2.0,False,Cessna 170
20001214X41947,Accident,CHI83LA070,1983-01-02,"GREENBURG, IN",United States,,,Non-Fatal,Substantial,N7230G,Cessna,172,No,1,Reciprocating,Personal,0.0,0.0,0.0,3.0,Vmc,Cruise,Probable Cause,,3.0,False,Cessna 172
20001214X41927,Accident,ATL83LA080,1983-01-02,"LAUREL, MS",United States,PIB,PINE BELT REGIONAL,Non-Fatal,Substantial,N5291M,Swearingen,SA-226TC,No,2,Turbo Prop,Personal,0.0,0.0,0.0,20.0,Imc,Cruise,Probable Cause,,20.0,False,Swearingen SA-226TC
